position,name,lastName,age,country,gender,wealthSource,industry,worth,worthChange,realTimeWorth,realTimePosition,image 
498,Russ Weiner,Weiner,48,United States,M,energy drinks,Food and Beverage,4400.0,0.0,,482,https://specials-images.forbesimg.com/imageserve/59d7e37131358e542c036d89/416x416.jpg?background=000000&cropX1=1620&cropX2=3823&cropY1=831&cropY2=3034
499,Jeronimo Arango,Arango,92,Mexico,M,retail,Fashion & Retail,4300.0,0.0,,471,https://specials-images.forbesimg.com/imageserve/59d7e37131358e542c036d89/416x416.jpg?background=000000&cropX1=1620&cropX2=3823&cropY1=831&cropY2=3034
500,Rahul Bajaj,Bajaj,80,India,M,motorcycles,Automotive,4300.0,0.0,,452,https://specials-images.forbesimg.com/imageserve/5a7f4513a7ea431690132ad1/416x416.jpg?background=000000&cropX1=882&cropX2=2669&cropY1=284&cropY2=2072
501,Rainer Blickle,Blickle,70,Germany,M,auto parts,Manufacturing,4300.0,0.0,,587,https://specials-images.forbesimg.com/imageserve/250c3eea55c826ca89f092951d0882b3/416x416.jpg?background=000000&cropX1=55&cropX2=680&cropY1=256&cropY2=881
502,Rocco Commisso,Commisso,68,United States,M,telecom,Telecom,4300.0,0.0,,459,https://specials-images.forbesimg.com/imageserve/59ea2558a7ea436b47b42175/416x416.jpg?background=000000&cropX1=124&cropX2=1295&cropY1=75&cropY2=1245
503,Giuseppe De'Longhi,De'Longhi,79,Italy,M,coffee makers,Fashion & Retail,4300.0,0.0,,536,https://specials-images.forbesimg.com/imageserve/59ea2558a7ea436b47b42175/416x416.jpg?background=000000&cropX1=124&cropX2=1295&cropY1=75&cropY2=1245
504,Tilman Fertitta,Fertitta,60,United States,M,"Houston Rockets, entertainment",Food and Beverage,4300.0,0.0,,475,https://specials-images.forbesimg.com/imageserve/59dbd838a7ea436b47b39d0f/416x416.jpg?background=000000&cropX1=2976&cropX2=4431&cropY1=848&cropY2=2303
505,Nathan Kirsh,Kirsh,86,Swaziland,M,"retail, real estate",Fashion & Retail,4300.0,0.0,,417,https://specials-images.forbesimg.com/imageserve/5a8118d14bbe6f2652f54533/416x416.jpg?background=000000&cropX1=839&cropX2=2666&cropY1=966&cropY2=2795
506,Terrence Pegula,Pegula,67,United States,M,natural gas,Energy,4300.0,0.0,,491,https://specials-images.forbesimg.com/imageserve/5a8dd70b31358e4955adfb2a/416x416.jpg?background=000000&cropX1=876&cropX2=4433&cropY1=94&cropY2=3648
507,Robert Pera,Pera,40,United States,M,wireless networking gear,Technology,4300.0,0.0,,397,https://specials-images.forbesimg.com/imageserve/59dbea1c31358e542c038325/416x416.jpg?background=000000&cropX1=729&cropX2=2443&cropY1=353&cropY2=2068
508,Gary Rollins,Rollins,73,United States,M,pest control,Service,4300.0,0.0,,479,https://specials-images.forbesimg.com/imageserve/57e11eb8a7ea430a8a1a0944/416x416.jpg?background=000000&cropX1=188&cropX2=652&cropY1=114&cropY2=578
509,Randall Rollins,Rollins,86,United States,M,pest control,Service,4300.0,0.0,,480,https://specials-images.forbesimg.com/imageserve/c71620af40d526c7e992f006ce03dc6f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=126&cropY2=870
510,Alejandro Santo Domingo,Santo Domingo,41,United States,M,beer,Food and Beverage,4300.0,0.001,,516,https://specials-images.forbesimg.com/imageserve/59d7b38a31358e542c036a6c/416x416.jpg?background=000000&cropX1=234&cropX2=1182&cropY1=220&cropY2=1168
511,Andres Santo Domingo,Santo Domingo,40,United States,M,beer,Food and Beverage,4300.0,0.001,,513,https://specials-images.forbesimg.com/imageserve/59d7b57c31358e542c036ac3/416x416.jpg?background=000000&cropX1=1245&cropX2=2367&cropY1=124&cropY2=1246
512,Pham Nhat Vuong,Vuong,49,Vietnam,M,diversified,Diversified,4300.0,0.0,,238,https://specials-images.forbesimg.com/imageserve/5a8139ee4bbe6f2652f546ef/416x416.jpg?background=000000&cropX1=1139&cropX2=2029&cropY1=12&cropY2=901
513,Roger Wang,Wang,69,United States,M,retail,Fashion & Retail,4300.0,0.0,,555,https:http://specials-images.forbesimg.com/imageserve/55faac1de4b0ffa7afe4aeac/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=23&cropY2=767
514,Stephen Bisciotti,Bisciotti,58,United States,M,"staffing, Baltimore Ravens",Sports,4200.0,0.0,,478,https://specials-images.forbesimg.com/imageserve/5a8dd6254bbe6f2652f6269b/416x416.jpg?background=000000&cropX1=1221&cropX2=3620&cropY1=156&cropY2=2555
515,"Austen Cargill, II.",Cargill,67,United States,M,Cargill,Food and Beverage,4200.0,0.0,,510,https://specials-images.forbesimg.com/imageserve/5a8dd6254bbe6f2652f6269b/416x416.jpg?background=000000&cropX1=1221&cropX2=3620&cropY1=156&cropY2=2555
516,"James Cargill, II.",Cargill,69,United States,M,Cargill,Food and Beverage,4200.0,0.0,,511,https://specials-images.forbesimg.com/imageserve/5a8dd6254bbe6f2652f6269b/416x416.jpg?background=000000&cropX1=1221&cropX2=3620&cropY1=156&cropY2=2555
517,Archie Aldis Emmerson,Emmerson,89,United States,M,"timberland, lumber mills",Manufacturing,4200.0,0.0,,498,https:http://specials-images.forbesimg.com/imageserve/b0fbe22d9c0799e3c6bb9ca811c78752/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=37&cropY2=637
518,Antti Herlin,Herlin,61,Finland,M,"elevators, escalators",Manufacturing,4200.0,-0.001,,523,https://specials-images.forbesimg.com/imageserve/956147a56d019eb6687c1186da18dab1/416x416.jpg?background=000000&cropX1=3&cropX2=597&cropY1=6&cropY2=601
519,Sumet Jiaravanon,Jiaravanon,83,Thailand,M,diversified,Diversified,4200.0,-0.001,,551,https://specials-images.forbesimg.com/imageserve/956147a56d019eb6687c1186da18dab1/416x416.jpg?background=000000&cropX1=3&cropX2=597&cropY1=6&cropY2=601
520,Lars Larsen,Larsen,69,Denmark,M,retail,Fashion & Retail,4200.0,0.0,,695,https://specials-images.forbesimg.com/imageserve/5a7dd8914bbe6f2652f51def/416x416.jpg?background=000000&cropX1=2108&cropX2=4222&cropY1=0&cropY2=2115
521,Marianne Liebmann,Liebmann,64,United States,F,Cargill,Food and Beverage,4200.0,0.0,,512,https://specials-images.forbesimg.com/imageserve/5a7dd8914bbe6f2652f51def/416x416.jpg?background=000000&cropX1=2108&cropX2=4222&cropY1=0&cropY2=2115
522,Bobby Murphy,Murphy,29,United States,M,Snapchat,Technology,4200.0,0.0,,807,https://specials-images.forbesimg.com/imageserve/59dbed78a7ea436b47b39fbd/416x416.jpg?background=000000&cropX1=616&cropX2=2174&cropY1=471&cropY2=2030
523,Igor Olenicoff,Olenicoff,75,United States,M,real estate,Real Estate,4200.0,0.0,,514,https://specials-images.forbesimg.com/imageserve/55faa6b6e4b0ffa7afe4ae7b/416x416.jpg?background=000000&cropX1=155&cropX2=653&cropY1=18&cropY2=516
524,"Walter Scott, Jr.",Scott,87,United States,M,"utilities, telecom",Energy,4200.0,0.0,,526,https:http://specials-images.forbesimg.com/imageserve/57e072e5a7ea430a8a1a07ba/416x416.jpg?background=000000&cropX1=135&cropX2=744&cropY1=37&cropY2=646
525,"Clemmie Spangler, Jr.",Spangler,86,United States,M,investments,Finance and Investments,4200.0,0.0,,518,https://specials-images.forbesimg.com/imageserve/84531a01ca8f3d559caa46d711a72e4a/416x416.jpg?background=000000&cropX1=0&cropX2=1308&cropY1=204&cropY2=1511
526,Wang Yusuo,Wang,54,China,M,natural gas distribution,Energy,4200.0,0.0,,423,https://specials-images.forbesimg.com/imageserve/05c3ca170797cbffcf1675e9b083200f/416x416.jpg?background=000000&cropX1=48&cropX2=715&cropY1=8&cropY2=675
527,Carl Bennet,Bennet,66,Sweden,M,investments,Finance and Investments,4100.0,0.001,,616,https://specials-images.forbesimg.com/imageserve/6248eb20b6c73f87e3007caee7047f26/416x416.jpg?background=000000&cropX1=71&cropX2=744&cropY1=0&cropY2=674
528,Arthur Blank,Blank,75,United States,M,Home Depot,Sports,4100.0,0.0,,504,https://specials-images.forbesimg.com/imageserve/af4ef0ebe7642629324ad254a854273f/416x416.jpg?background=000000&cropX1=143&cropX2=660&cropY1=19&cropY2=536
529,Jaran Chiaravanont,Chiaravanont,88,Thailand,M,diversified,Diversified,4100.0,0.001,,567,https://specials-images.forbesimg.com/imageserve/af4ef0ebe7642629324ad254a854273f/416x416.jpg?background=000000&cropX1=143&cropX2=660&cropY1=19&cropY2=536
530,Jack & Laura Dangermond,Dangermond,72,United States,,mapping software,Technology,4100.0,0.0,,435,https://specials-images.forbesimg.com/imageserve/59dbd0f94bbe6f37dda034e6/416x416.jpg?background=000000&cropX1=168&cropX2=740&cropY1=28&cropY2=600
531,Fan Hongwei,Fan,51,China,F,petrochemicals,Energy,4100.0,0.0,,462,https://specials-images.forbesimg.com/imageserve/59dbd0f94bbe6f37dda034e6/416x416.jpg?background=000000&cropX1=168&cropX2=740&cropY1=28&cropY2=600
532,John Gandel,Gandel,83,Australia,M,shopping malls,Real Estate,4100.0,0.0,,563,https://specials-images.forbesimg.com/imageserve/5a7a57e0a7ea43169012d964/416x416.jpg?background=000000&cropX1=264&cropX2=2195&cropY1=135&cropY2=2067
533,James Jannard,Jannard,69,United States,M,sunglasses,Fashion & Retail,4100.0,0.0,,521,https://specials-images.forbesimg.com/imageserve/31538b6d5294610d0ab110c04daf09a2/416x416.jpg?background=000000&cropX1=48&cropX2=744&cropY1=29&cropY2=725
534,Montri Jiaravanont,Jiaravanont,87,Thailand,M,diversified,Diversified,4100.0,-19.162,,568,https://specials-images.forbesimg.com/imageserve/31538b6d5294610d0ab110c04daf09a2/416x416.jpg?background=000000&cropX1=48&cropX2=744&cropY1=29&cropY2=725
535,Samuel Tak Lee,Lee,79,Hong Kong,M,real estate,Real Estate,4100.0,0.0,,583,https://specials-images.forbesimg.com/imageserve/31538b6d5294610d0ab110c04daf09a2/416x416.jpg?background=000000&cropX1=48&cropX2=744&cropY1=29&cropY2=725
536,Pawan Munjal,Munjal,64,India,M,motorcycles,Automotive,4100.0,0.0,,557,https://specials-images.forbesimg.com/imageserve/57d8876631358e16c5898f96/416x416.jpg?background=000000&cropX1=253&cropX2=672&cropY1=137&cropY2=556
537,Axel Oberwelland,Oberwelland,51,Germany,M,candy,Food and Beverage,4100.0,0.0,,620,https://specials-images.forbesimg.com/imageserve/57d8876631358e16c5898f96/416x416.jpg?background=000000&cropX1=253&cropX2=672&cropY1=137&cropY2=556
538,James Packer,Packer,50,Australia,M,casinos,Gambling & Casinos,4100.0,0.0,,552,https://specials-images.forbesimg.com/imageserve/5a7a56f7a7ea43169012d94d/416x416.jpg?background=000000&cropX1=0&cropX2=2768&cropY1=11&cropY2=2781
539,Isaac Perlmutter,Perlmutter,75,United States,M,Marvel comics,Media & Entertainment,4100.0,0.0,,535,https://specials-images.forbesimg.com/imageserve/58d533e431358e1a35ad984c/416x416.jpg?background=000000&cropX1=508&cropX2=1473&cropY1=61&cropY2=1025
540,"H. Ross Perot, Sr.",Perot,87,United States,M,"computer services, real estate",Diversified,4100.0,0.0,,517,https://specials-images.forbesimg.com/imageserve/03c7983498df0671293104187649f1c0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
541,Michael Pieper,Pieper,72,Switzerland,M,kitchen appliances,Manufacturing,4100.0,0.0,,670,https://specials-images.forbesimg.com/imageserve/82baa7f5ff8103ce920683e17948b55c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=18&cropY2=762
542,Thomas Pritzker,Pritzker,68,United States,M,"hotels, investments",Finance and Investments,4100.0,0.0,,541,https://specials-images.forbesimg.com/imageserve/7dd7043c48edb3bd30804e026ddab444/416x416.jpg?background=000000&cropX1=142&cropX2=743&cropY1=308&cropY2=909
543,"Julian Robertson, Jr.",Robertson,85,United States,M,hedge funds,Finance and Investments,4100.0,0.0,,543,https://specials-images.forbesimg.com/imageserve/59d7ee3131358e542c036e4e/416x416.jpg?background=000000&cropX1=108&cropX2=651&cropY1=109&cropY2=652
544,Renzo Rosso,Rosso,62,Italy,M,fashion,Fashion & Retail,4100.0,0.0,,654,https://specials-images.forbesimg.com/imageserve/5a7f9efb31358e4955ad1eb9/416x416.jpg?background=000000&cropX1=114&cropX2=1523&cropY1=57&cropY2=1466
545,Hussain Sajwani,Sajwani,65,United Arab Emirates,M,real estate,Real Estate,4100.0,23.79,,800,https://specials-images.forbesimg.com/imageserve/56d06a93e4b0c144a7f64a47/416x416.jpg?background=000000&cropX1=10&cropX2=744&cropY1=39&cropY2=774
546,Yasumitsu Shigeta,Shigeta,53,Japan,M,mobile phone retailer,Telecom,4100.0,0.0,,368,https://specials-images.forbesimg.com/imageserve/5ac2512f31358e4112b68a20/416x416.jpg?background=000000&cropX1=9&cropX2=1413&cropY1=9&cropY2=1413
547,Evan Spiegel,Spiegel,28,United States,M,Snapchat,Technology,4100.0,0.0,,817,https://specials-images.forbesimg.com/imageserve/59162afb31358e03e5590bd9/416x416.jpg?background=000000&cropX1=1011&cropX2=4726&cropY1=32&cropY2=3744
548,Wang Xing,Wang,45,China,M,e-commerce,Technology,4100.0,0.0,,549,https://specials-images.forbesimg.com/imageserve/5a7d03fba7ea431690130d98/416x416.jpg?background=000000&cropX1=101&cropX2=561&cropY1=90&cropY2=549
549,Kelcy Warren,Warren,62,United States,M,pipelines,Energy,4100.0,0.0,,503,https://specials-images.forbesimg.com/imageserve/59d7eab04bbe6f37dda020cf/416x416.jpg?background=000000&cropX1=2496&cropX2=3723&cropY1=163&cropY2=1389
550,Ben Ashkenazy,Ashkenazy,48,United States,M,real estate,Real Estate,4000.0,0.0,,560,https://specials-images.forbesimg.com/imageserve/59ef795e4bbe6f37dda1056d/416x416.jpg?background=000000&cropX1=1613&cropX2=3298&cropY1=1291&cropY2=2975
551,Ursula Bechtolsheimer-Kipp,Bechtolsheimer-Kipp,,Germany,F,retail,Real Estate,4000.0,0.0,,592,https://specials-images.forbesimg.com/imageserve/5a7e5aff31358e4955ad13b7/416x416.jpg?background=000000&cropX1=18&cropX2=775&cropY1=120&cropY2=877
552,Otto Philipp Braun,Braun,40,Germany,M,medical technology,Healthcare,4000.0,0.0,,593,https://specials-images.forbesimg.com/imageserve/5a68e7774bbe6f2652f37a75/416x416.jpg?background=000000&cropX1=165&cropX2=813&cropY1=30&cropY2=679
553,Che Jianxing,Che,51,China,M,furniture retailing,Fashion & Retail,4000.0,0.0,,467,https://specials-images.forbesimg.com/imageserve/589ce0f74bbe6f0e55866685/416x416.jpg?background=000000&cropX1=72&cropX2=744&cropY1=0&cropY2=672
554,Dagmar Dolby,Dolby,76,United States,F,Dolby Laboratories,Technology,4000.0,0.0,,544,https://specials-images.forbesimg.com/imageserve/59d7fbac4bbe6f37dda021cd/416x416.jpg?background=000000&cropX1=0&cropX2=838&cropY1=669&cropY2=1506
555,Traudl Engelhorn,Engelhorn,91,Germany,F,"pharmaceuticals, medical equipment",Healthcare,4000.0,0.0,,561,https://specials-images.forbesimg.com/imageserve/5a7e56414bbe6f2652f529b3/416x416.jpg?background=000000&cropX1=116&cropX2=1016&cropY1=250&cropY2=1150
556,Dan Friedkin,Friedkin,53,United States,M,Toyota dealerships,Automotive,4000.0,0.0,,531,https://specials-images.forbesimg.com/imageserve/5a8dd78231358e4955adfbaa/416x416.jpg?background=000000&cropX1=0&cropX2=2168&cropY1=356&cropY2=2525
557,Sergei Galitsky,Galitsky,50,Russia,M,retail,Fashion & Retail,4000.0,0.0,,623,https://specials-images.forbesimg.com/imageserve/5a80b5184bbe6f2652f54002/416x416.jpg?background=000000&cropX1=1003&cropX2=2987&cropY1=9&cropY2=1994
558,Huang Rulun,Huang,66,China,M,real estate,Real Estate,4000.0,0.0,,679,https://specials-images.forbesimg.com/imageserve/b8f39daf7c442a93e854518a273084a2/416x416.jpg?background=000000&cropX1=69&cropX2=716&cropY1=142&cropY2=790
559,Erman Ilicak,Ilicak,50,Turkey,M,construction,Construction & Engineering,4000.0,0.0,,780,https://specials-images.forbesimg.com/imageserve/58b73d2f4bbe6f0e5587d21e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775
560,Ronald Lauder,Lauder,74,United States,M,Estee Lauder,Fashion & Retail,4000.0,0.0,,548,https://specials-images.forbesimg.com/imageserve/59dbce3ba7ea436b47b39bc9/416x416.jpg?background=000000&cropX1=1034&cropX2=2203&cropY1=148&cropY2=1317
561,Michel Leclercq,Leclercq,79,France,M,sporting goods,Fashion & Retail,4000.0,0.0,,643,https://specials-images.forbesimg.com/imageserve/59dbce3ba7ea436b47b39bc9/416x416.jpg?background=000000&cropX1=1034&cropX2=2203&cropY1=148&cropY2=1317
562,Michael Moritz,Moritz,63,United States,M,venture capital,Technology,4000.0,3.895,,485,https://specials-images.forbesimg.com/imageserve/59dbd8bba7ea436b47b39d44/416x416.jpg?background=000000&cropX1=1200&cropX2=3680&cropY1=80&cropY2=2559
563,Issad Rebrab,Rebrab,74,Algeria,M,food,Food and Beverage,4000.0,0.0,,577,https://specials-images.forbesimg.com/imageserve/5a7a210fa7ea43169012d507/416x416.jpg?background=000000&cropX1=523&cropX2=2140&cropY1=10&cropY2=1626
564,Naguib Sawiris,Sawiris,64,Egypt,M,telecom,Telecom,4000.0,-0.392,,533,https://specials-images.forbesimg.com/imageserve/5a7dddd44bbe6f2652f51ec1/416x416.jpg?background=000000&cropX1=5&cropX2=2447&cropY1=21&cropY2=2464
565,Richard Schulze,Schulze,77,United States,M,Best Buy,Fashion & Retail,4000.0,0.0,,505,https:http://specials-images.forbesimg.com/imageserve/1423046948c12a11b7b90939845786aa/416x416.jpg?background=000000&cropX1=245&cropX2=1029&cropY1=108&cropY2=892
566,B.R. Shetty,Shetty,76,India,M,healthcare,Healthcare,4000.0,0.0,,534,https://specials-images.forbesimg.com/imageserve/56cafcc7e4b062f6b59a354a/416x416.jpg?background=000000&cropX1=56&cropX2=703&cropY1=93&cropY2=741
567,Jeff Sutton,Sutton,58,United States,M,real estate,Real Estate,4000.0,0.0,,572,https://specials-images.forbesimg.com/imageserve/56cafcc7e4b062f6b59a354a/416x416.jpg?background=000000&cropX1=56&cropX2=703&cropY1=93&cropY2=741
568,Tony Tan Caktiong,Tan Caktiong,65,Philippines,M,food,Food and Beverage,4000.0,0.0,,686,https://specials-images.forbesimg.com/imageserve/599b5d1b4bbe6f5997f04310/416x416.jpg?background=000000&cropX1=783&cropX2=3434&cropY1=17&cropY2=2667
569,Yu Huijiao,Yu,52,China,M,package delivery,Logistics,4000.0,0.001,,650,https://specials-images.forbesimg.com/imageserve/5a7d1bc14bbe6f2652f51217/416x416.jpg?background=000000&cropX1=15&cropX2=1937&cropY1=258&cropY2=2180
570,Zhang Xuexin,Zhang,70,China,M,aluminum,Metals & Mining,4000.0,0.0,,588,https://specials-images.forbesimg.com/imageserve/5a8dfe16a7ea4316901410ad/416x416.jpg?background=000000&cropX1=701&cropX2=2810&cropY1=5&cropY2=2112
571,Zhang Yiming,Zhang,34,China,M,software,Technology,4000.0,0.0,,562,https://specials-images.forbesimg.com/imageserve/5a7d250aa7ea431690130ede/416x416.jpg?background=000000&cropX1=1389&cropX2=2538&cropY1=771&cropY2=1919
572,Suhail Bahwan,Bahwan,79,Oman,M,diversified,Diversified,3900.0,0.0,,740,https://specials-images.forbesimg.com/imageserve/58accd954bbe6f0e55873ffd/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=39&cropY2=783
573,Rick Caruso,Caruso,59,United States,M,real estate,Real Estate,3900.0,0.0,,574,https://specials-images.forbesimg.com/imageserve/5a8dd7e74bbe6f2652f6274e/416x416.jpg?background=000000&cropX1=0&cropX2=1983&cropY1=0&cropY2=1984
574,Tom Gores,Gores,53,United States,M,private equity,Finance and Investments,3900.0,0.0,,575,https://specials-images.forbesimg.com/imageserve/59dbd23431358e542c0380ab/416x416.jpg?background=000000&cropX1=1074&cropX2=2950&cropY1=130&cropY2=2006
575,Peter Hargreaves,Hargreaves,71,United Kingdom,M,financial services,Finance and Investments,3900.0,0.0,,489,https://specials-images.forbesimg.com/imageserve/5a815fca4bbe6f2652f547f7/416x416.jpg?background=000000&cropX1=867&cropX2=2267&cropY1=479&cropY2=1880
576,Daniela Herz,Herz,64,Germany,F,coffee,Finance and Investments,3900.0,0.0,,614,https://specials-images.forbesimg.com/imageserve/5a815fca4bbe6f2652f547f7/416x416.jpg?background=000000&cropX1=867&cropX2=2267&cropY1=479&cropY2=1880
577,Guenter Herz,Herz,77,Germany,M,coffee,Finance and Investments,3900.0,0.0,,615,https://specials-images.forbesimg.com/imageserve/58a1d3a331358e1a35ab4263/416x416.jpg?background=000000&cropX1=87&cropX2=630&cropY1=95&cropY2=638
578,Masatoshi Ito,Ito,94,Japan,M,retail,Fashion & Retail,3900.0,0.0,,542,https://specials-images.forbesimg.com/imageserve/9a1adba9e6b474399573d48ba6ef713a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775
579,Barry Lam,Lam,69,Taiwan,M,electronics,Technology,3900.0,0.0,,635,https://specials-images.forbesimg.com/imageserve/56cc32c1e4b062f6b59a4fdd/416x416.jpg?background=000000&cropX1=45&cropX2=651&cropY1=89&cropY2=695
580,Sudhir & Samir Mehta,Mehta,,India,M,diversified,Diversified,3900.0,-0.001,,624,https://specials-images.forbesimg.com/imageserve/5abba482a7ea432fbc1d5d2a/416x416.jpg?background=000000&cropX1=1748&cropX2=4571&cropY1=233&cropY2=3058
581,Ravi Pillai,Pillai,64,India,M,construction,Construction & Engineering,3900.0,0.0,,619,https://specials-images.forbesimg.com/imageserve/852181c7f225b2df196d085d65487095/416x416.jpg?background=000000&cropX1=89&cropX2=704&cropY1=81&cropY2=697
582,Stewart and Lynda Resnick,Resnick,,United States,,"agriculture, water",Food and Beverage,3900.0,0.0,,436,https://specials-images.forbesimg.com/imageserve/59d7fd0731358e542c036eb5/416x416.jpg?background=000000&cropX1=575&cropX2=2287&cropY1=341&cropY2=2053
583,Jerry Speyer,Speyer,78,United States,M,real estate,Real Estate,3900.0,0.0,,576,https://specials-images.forbesimg.com/imageserve/59d7fdd831358e542c036ecf/416x416.jpg?background=000000&cropX1=169&cropX2=1611&cropY1=40&cropY2=1483
584,Harry Stine,Stine,76,United States,M,agriculture,Food and Beverage,3900.0,0.0,,719,https://specials-images.forbesimg.com/imageserve/59d7ff5531358e542c036ed6/416x416.jpg?background=000000&cropX1=352&cropX2=1206&cropY1=124&cropY2=978
585,George Ty,Ty,85,Philippines,M,banking,Finance and Investments,3900.0,0.001,,854,https://specials-images.forbesimg.com/imageserve/a4d43f17fff8159e27532df9db2b8c45/416x416.jpg?background=000000&cropX1=166&cropX2=744&cropY1=48&cropY2=627
586,Steven Udvar-Hazy,Udvar-Hazy,72,United States,M,aircraft leasing,Service,3900.0,0.0,,582,https://specials-images.forbesimg.com/imageserve/59d800764bbe6f37dda021db/416x416.jpg?background=000000&cropX1=489&cropX2=1983&cropY1=247&cropY2=1740
587,Christoph Zeller,Zeller,61,Liechtenstein,M,dental implants,Healthcare,3900.0,0.0,,610,https://specials-images.forbesimg.com/imageserve/59d800764bbe6f37dda021db/416x416.jpg?background=000000&cropX1=489&cropX2=1983&cropY1=247&cropY2=1740
588,Nathan Blecharczyk,Blecharczyk,35,United States,M,Airbnb,Technology,3800.0,0.0,,598,https://specials-images.forbesimg.com/imageserve/5a8dda51a7ea431690140c1f/416x416.jpg?background=000000&cropX1=891&cropX2=3257&cropY1=303&cropY2=2667
589,Hubert Burda,Burda,78,Germany,M,publishing,Media & Entertainment,3800.0,0.0,,647,https://specials-images.forbesimg.com/imageserve/5a7e18774bbe6f2652f5262a/416x416.jpg?background=000000&cropX1=545&cropX2=2767&cropY1=28&cropY2=2251
590,Chen Dongsheng,Chen,60,China,M,insurance,Finance and Investments,3800.0,0.0,,618,https://specials-images.forbesimg.com/imageserve/5a7bc417a7ea43169012f465/416x416.jpg?background=000000&cropX1=903&cropX2=3641&cropY1=0&cropY2=2736
591,Brian Chesky,Chesky,36,United States,M,Airbnb,Technology,3800.0,0.0,,596,https://specials-images.forbesimg.com/imageserve/59d8056a31358e542c036f00/416x416.jpg?background=000000&cropX1=545&cropX2=2830&cropY1=1231&cropY2=3518
592,Gustaf Douglas,Douglas,80,Sweden,M,investments,Diversified,3800.0,-71.331,,696,https://specials-images.forbesimg.com/imageserve/5a811d2e4bbe6f2652f545c3/416x416.jpg?background=000000&cropX1=0&cropX2=1212&cropY1=3&cropY2=1216
593,Joe Gebbia,Gebbia,36,United States,M,Airbnb,Technology,3800.0,0.0,,597,https://specials-images.forbesimg.com/imageserve/5a21ca88a7ea432f2e74b67c/416x416.jpg?background=000000&cropX1=135&cropX2=3183&cropY1=289&cropY2=3336
594,Peter Gilgan,Gilgan,67,Canada,M,homebuilding,Construction & Engineering,3800.0,0.0,,699,https://specials-images.forbesimg.com/imageserve/5a7bb1f84bbe6f2652f4f39e/416x416.jpg?background=000000&cropX1=576&cropX2=4419&cropY1=0&cropY2=3840
595,Jeff Greene,Greene,63,United States,M,"real estate, investments",Real Estate,3800.0,0.0,,600,https://specials-images.forbesimg.com/imageserve/4f11bbb61e2f6e54d13d5d8d64b6af1a/416x416.jpg?background=000000&cropX1=5&cropX2=731&cropY1=61&cropY2=788
596,Jiang Weiping,Jiang,63,China,M,chemicals,Manufacturing,3800.0,0.0,,692,https://specials-images.forbesimg.com/imageserve/562e57f2e4b0ffa7afe645f1/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=113&cropY2=854
597,Dominika & Sebastian Kulczyk,Kulczyk,,Poland,,diversified,Finance and Investments,3800.0,0.001,,599,https://specials-images.forbesimg.com/imageserve/5a806eb631358e4955ad27e5/416x416.jpg?background=000000&cropX1=1071&cropX2=4110&cropY1=7&cropY2=3046
598,Li Wa,Li,52,Hong Kong,M,real estate,Real Estate,3800.0,0.0,,612,https://specials-images.forbesimg.com/imageserve/1d225270d1a088f84333d4b2d0d6932a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=190&cropY2=934
599,Robert McNair,McNair,81,United States,M,"energy, sports",Sports,3800.0,0.0,,602,https://specials-images.forbesimg.com/imageserve/5a8dda8ba7ea431690140c29/416x416.jpg?background=000000&cropX1=217&cropX2=2655&cropY1=249&cropY2=2686
600,Masahiro Miki,Miki,62,Japan,M,shoes,Fashion & Retail,3800.0,0.0,,636,https://specials-images.forbesimg.com/imageserve/4b326a448b4132675e2cb6e3202fa061/416x416.jpg?background=000000&cropX1=0&cropX2=372&cropY1=2&cropY2=374
601,Katharina Otto-Bernstein,Otto-Bernstein,,Germany,F,real estate,Real Estate,3800.0,0.0,,607,https://specials-images.forbesimg.com/imageserve/5a7e1c9e4bbe6f2652f52679/416x416.jpg?background=000000&cropX1=551&cropX2=2600&cropY1=289&cropY2=2340
602,Ira Rennert,Rennert,84,United States,M,investments,Finance and Investments,3800.0,0.0,,590,https://specials-images.forbesimg.com/imageserve/57e06ef631358e16c589b9fd/416x416.jpg?background=000000&cropX1=79&cropX2=744&cropY1=44&cropY2=710
603,Henry Samueli,Samueli,63,United States,M,semiconductors,Technology,3800.0,0.0,,566,https://specials-images.forbesimg.com/imageserve/5a8dd4c6a7ea431690140b00/416x416.jpg?background=000000&cropX1=403&cropX2=1131&cropY1=270&cropY2=999
604,Zeng Fangqin,Zeng,52,China,F,smartphone components,Technology,3800.0,0.0,,634,https://specials-images.forbesimg.com/imageserve/5a8dd4c6a7ea431690140b00/416x416.jpg?background=000000&cropX1=403&cropX2=1131&cropY1=270&cropY2=999
